cantidad_hilos,cantidad_torneos,duracion_ms,turnos_totales
1,20000,839.305,1637092
1,20000,857.401,1641746
1,20000,818.294,1641120
1,20000,882.348,1637508
1,20000,813.248,1639596
2,20000,870.992,1639852
2,20000,831.313,1640406
2,20000,966.763,1640806
2,20000,893.811,1637921
2,20000,869.958,1639027
4,20000,839.204,1637683
4,20000,809.527,1637464
4,20000,805.717,1639358
4,20000,802.796,1638936
4,20000,826.337,1637563
8,20000,920.271,1639701
8,20000,837.926,1640565
8,20000,854.552,1638812
8,20000,805.427,1638079
8,20000,813.067,1639888
16,20000,856.201,1637527
16,20000,801.054,1637791
16,20000,811.657,1641272
16,20000,882.930,1637951
16,20000,816.092,1639840
32,20000,837.375,1637667
32,20000,865.510,1636626
32,20000,814.604,1636688
32,20000,859.711,1639044
32,20000,869.680,1637705
