camiones,viajes_por_planta,horas,dias
1,30,1592.43,66.3511
1,30,1652.19,68.8413
1,30,1533.07,63.8778
2,30,819.79,34.1580
2,30,801.29,33.3870
2,30,771.79,32.1578
3,30,500.48,20.8534
3,30,502.40,20.9335
3,30,573.35,23.8897
4,30,406.02,16.9176
4,30,406.58,16.9409
4,30,415.30,17.3041
6,30,282.60,11.7749
6,30,277.62,11.5676
6,30,286.12,11.9218
8,30,239.28,9.9699
8,30,231.28,9.6368
8,30,240.48,10.0199
12,30,170.74,7.1141
12,30,175.48,7.3118
12,30,169.62,7.0676
16,30,143.25,5.9685
16,30,137.22,5.7176
16,30,140.30,5.8457
24,30,117.21,4.8837
24,30,120.79,5.0328
24,30,122.82,5.1174
32,30,116.91,4.8714
32,30,115.98,4.8324
32,30,115.70,4.8208
48,30,117.14,4.8807
48,30,117.95,4.9146
48,30,116.15,4.8398
